City,Food_type,OrderCount
Hyderabad,"Fast Food,Beverages,Ice Cream",1
Hyderabad,"Fast Food,Pizzas,Beverages",1
Hyderabad,"Italian,Snacks",1
Hyderabad,"South Indian,Chinese,Indian",1
Hyderabad,"Indian  Fast Food  Beverages",1
Hyderabad,"Biryani,Rayalaseema,Andhra,South Indian",1
Hyderabad,"Seafood,Snacks,Grill",1
Hyderabad,"North Indian,Chinese,Salads",1
Hyderabad,"Indian,Punjabi,Fast Food",1
Hyderabad,"Chinese,South Indian,North Indian,Fast Food",1
Hyderabad,"Indian,Biryani,Combo",1
Hyderabad,"Indian  South Indian  Chinese  Arabian",1
Hyderabad,"Beverages,Healthy Food,Juices",1
Hyderabad,"Tibetan,Fast Food,Chinese,Asian,Snacks,Continental,Desserts,Beverages",1
Hyderabad,"Italian,Beverages,Pizzas,Pastas,Desserts,Mexican",1
Hyderabad,"North Indian,Snacks",1
Hyderabad,"Beverages,Desserts,Healthy Food,Ice Cream,Snacks",1
Hyderabad,"Snacks  Beverages",1
Hyderabad,"Chinese,South Indian,Biryani,Juices,Beverages,Ice Cream",1
Hyderabad,"Healthy Food,Snacks",1
Hyderabad,"Continental,Italian",1
Hyderabad,"Fast Food  Bakery  Desserts  Beverages",1
Hyderabad,"Healthy Food  Indian  Keto  Snacks  Bakery  North Indian",1
Hyderabad,"Mexican,Pizzas,Pastas",1
Hyderabad,"Fast Food,Beverages",1
Hyderabad,Turkish,1
Hyderabad,Andhra,1
Hyderabad,"Desserts,Snacks,Beverages,Healthy Food",1
Hyderabad,"Coastal  Indian  Seafood",1
Hyderabad,"Fast Food,Lebanese,Continental,Healthy Food",1
Hyderabad,"Continental,Pizzas,Beverages,Fast Food",1
Hyderabad,"European,Snacks,Fast Food",1
Hyderabad,"Snacks,Beverages,Fast Food",1
Hyderabad,"Indian,North Indian,Chinese,Desserts,Beverages",1
Hyderabad,"Bakery  Beverages",1
Hyderabad,"American  Snacks",1
Hyderabad,"Indian,Chinese,Biryani,Continental",1
Hyderabad,"Fast Food,Salads,Snacks,Desserts",1
Hyderabad,"South Indian,Biryani",1
Hyderabad,"Italian  Pizzas",1
Hyderabad,"Continental,Fast Food,Snacks",1
Hyderabad,"Chinese,North Indian,Desserts,Beverages",1
Hyderabad,"Healthy Food  South Indian",1
Hyderabad,"Arabian,Continental,Snacks",1
Hyderabad,"Chinese  North Indian",1
Hyderabad,"Beverages,Juices,Salads",1
Hyderabad,"American,Continental,Beverages,Desserts,Fast Food",1
Hyderabad,"Bakery,Ice Cream,Desserts,Beverages,American,Fast Food",1
Hyderabad,"Indian  Biryani",1
Hyderabad,"Pizzas,Combo,Beverages",1
Hyderabad,"Pizzas,Beverages,Fast Food",1
Hyderabad,"Biryani,Hyderabadi,Mughlai",1
Hyderabad,"Italian,Beverages,Pizzas,Snacks",1
Hyderabad,"Pizzas,Fast Food,Chinese",1
Hyderabad,"Biryani,North Indian,Beverages,Desserts,Chinese",1
Hyderabad,"Pizzas,Fast Food",1
Hyderabad,"Pizzas  Bakery",1
Hyderabad,"Biryani,North Indian,Indian",1
Hyderabad,"South Indian,North Indian,Biryani",1
Hyderabad,"North Indian,Chinese,Biryani,Snacks,Fast Food,Indian,Seafood",1
Hyderabad,"Italian,Pizzas,Fast Food",1
